연번,요일구분,호선,역번호,출발역,상하구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-00시,00시-01시
1261,일요일,3,335,대치,상선,3.45,4.8,7.5,11.6,14.95,16.15,14.25,18.55,16.8,14.15,14.6,15.55,13.65,8.15,6.85,7.3,7.8,6.05,1.5,
1262,일요일,3,336,학여울,상선,3.1,4.2,6.9,11.1,14.2,14.8,13.05,16.65,15.55,12.55,13.4,13.1,10.9,7.15,5.8,6,4.6,4.65,1.7,
1263,일요일,3,337,대청,상선,3.25,4.05,6.9,12.25,13.95,15.15,13.3,15.8,13.05,10.7,11.45,10.05,9.45,6.65,5.4,5.9,4.35,4.6,1.7,
1264,일요일,3,338,일원,상선,3.05,3.55,6.05,10.6,12.2,13.2,11.55,14.2,11.65,10,10.55,9.35,9.15,6.35,5.4,5.7,4.1,4.25,2,
1265,일요일,3,339,수서,상선,2.85,3.7,6.3,10.05,12.3,11.75,10.4,12.9,10.35,9.35,9.35,8.45,8.2,5.7,5.45,5.2,4.4,4.25,2.05,
1266,일요일,3,340,가락시장,상선,6.35,3.95,5.9,11,11.5,10,11.1,11.05,9.8,9.2,9.2,8.95,9.15,7.3,6.35,7.15,5.35,2.9,1.25,
1267,일요일,3,341,경찰병원,상선,4.25,2.55,4.1,7.35,7.6,6,7,7,6,5.55,5.4,5.25,4.95,3.7,3.45,4.6,3.15,1.4,0,
1268,일요일,3,342,오금,상선,3.8,2.1,3.25,5.75,6,4.65,5.45,5.55,4.75,4.6,4.3,4.35,4.1,3.25,3.15,4.1,2.6,1.2,0,
1269,일요일,3,309,지축,하선,13.95,12.05,23.15,28.35,37.35,33.8,39.9,32.5,37.55,33.25,31.75,30.55,24.3,22.35,16.05,12.4,11.55,5.75,1.7,
1270,일요일,3,310,구파발,하선,5.55,8,14.15,22.45,26.05,30.55,25,22.1,23.25,21.55,20.95,19.55,16.95,13.45,11.9,11.1,8.85,5.85,1.6,
1271,일요일,3,311,연신내,하선,7.55,8.3,16.45,23,29.4,32.4,24.85,25.85,24.95,23.25,21.35,20.3,17.9,13.9,11.05,10.35,8.55,5.55,3.15,
1272,일요일,3,312,불광,하선,9.75,9.65,19.65,27.3,33.3,37.95,29.75,30.9,29.45,27.5,25.25,23.8,20.8,15.75,12.85,11.4,10.05,6.1,3.15,
1273,일요일,3,313,녹번,하선,11.15,10.75,21.8,30.1,36.6,42.45,33.1,33.9,31.4,28.85,26.3,24.7,21.1,15.9,12.75,11.2,9.8,5.85,2.8,
1274,일요일,3,314,홍제,하선,12.5,11.55,23.8,31.15,40.1,44.9,38.65,37.3,34.55,31.4,29.2,27.25,21.65,16.3,14.45,11.35,10.55,5.65,2.4,
1275,일요일,3,315,무악재,하선,12.8,11.8,24.35,32.05,41.05,46.05,39.65,38.35,35.15,31.75,29.55,27.4,21.9,16.4,14.4,11.3,10.6,5.7,2.35,
1276,일요일,3,316,독립문,하선,11.5,11.9,23.7,32.6,40.75,45.95,41.1,39.7,36.55,33.15,31.15,28.95,22.8,17,14.6,11.05,10.9,5.65,2.25,
1277,일요일,3,317,경복궁,하선,10.9,11.75,22.15,31.9,39.65,46.8,42.45,43.6,41.3,41.25,41.2,39.6,34.25,26.3,20,15.4,14.3,7.7,2.4,
1278,일요일,3,318,안국,하선,10.9,11.45,21.75,31.05,39.1,46.85,43.55,45.3,45.7,47.55,50.5,50.2,45.4,34,26.7,20.1,17.4,9.8,2.6,
1279,일요일,3,319,종로3가,하선,9.5,8.9,16.2,24.4,30.05,35.85,33.2,36.7,35.15,38.2,39.9,41.6,37.55,28.25,23.5,17.8,15.85,8.4,2.15,
1280,일요일,3,320,을지로3가,하선,8.6,7.7,14.05,20.95,27.25,30.75,28.2,33.05,31.7,35.05,36.45,39.05,35.1,26.35,22.6,18.15,17.15,10.4,2.6,
1281,일요일,3,321,충무로,하선,10.2,8.8,15.55,23.75,29.1,31.2,30.05,32.9,33.65,34.9,36.8,37.85,33.15,25.75,23.15,17.7,17.25,10.75,2.85,
