사용월,호선명,지하철역,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원
202503,9호선2~3단계,언주,1419,1111,3252,7910,7523,23795,10768,72868,10324,53815,10621,24408,12207,14951,14416,13330,15335,16957,17634,14366,19866,12496,24573,13217,44698,14315,61050,15841,30993,10934,17745,7412,14062,7954,10019,5702,3611,3736,738,1259
202503,9호선2~3단계,올림픽공원(한국체대),2170,564,7853,4111,17666,7154,21537,17946,14333,11005,10758,12355,10465,13877,12088,14851,12124,19675,11859,19179,13638,23819,17167,26762,17839,25141,17922,26506,18073,21186,34386,12278,25729,11567,12165,10137,3859,6584,248,1897
202503,9호선2~3단계,종합운동장,1415,232,4175,2188,10518,6381,13966,12035,9755,10961,7736,6263,8130,6732,8624,8005,8939,8237,7872,7681,9244,8234,11118,9777,13291,13895,13711,18872,9071,13170,8408,7788,9480,7305,7357,6564,3133,3402,463,1035
202503,9호선2~3단계,중앙보훈병원,4773,519,22149,5746,51490,12449,53524,22814,33583,14614,23145,15612,21326,9917,19652,13120,15811,14303,18060,14407,19822,13925,18934,15645,21429,24625,16264,40913,7725,32187,5375,19955,4464,17615,3130,18339,1028,8155,178,2763
202503,9호선2~3단계,한성백제,1208,305,3804,1088,8678,2500,12379,8027,6924,4943,4494,3479,4194,3605,4647,3497,5102,4111,4712,3760,4926,4019,5582,5166,6676,6419,8619,9618,4208,8106,3156,4541,3033,4750,2213,3515,738,2533,160,749
202503,경강선,경기광주,3196,287,17135,2577,43701,5862,41862,10239,20541,4778,15121,4778,12344,5358,11297,6906,9909,7725,8638,9064,8738,10944,10775,16548,11198,22316,8619,35172,4473,32129,3191,19336,2484,15435,1566,11527,511,5924,68,96
202503,경강선,곤지암,1076,255,3121,2397,7779,4920,6704,6599,4882,2687,3515,2234,3866,2670,4027,2910,3564,2823,3287,3008,4020,3443,5119,4402,7068,5616,5771,6806,2531,5105,1717,3944,1072,3166,371,3030,132,1639,15,380
202503,경강선,부발,1187,40,3507,1918,7760,6789,6403,5668,5488,2589,4576,2249,4715,2175,3800,2738,3657,3023,3201,2745,3950,3262,5329,4599,7280,5968,5419,6676,3131,5116,2625,4943,1322,5013,706,3677,429,3476,10,1360
202503,경강선,삼동,1777,40,5720,1258,13103,2161,13503,2066,7360,1201,4746,1247,3797,1398,3403,1888,2877,1967,2399,2590,2298,3771,2497,5216,3348,8111,2762,9489,1306,8788,879,5373,701,4913,454,3524,146,1791,13,36
202503,경강선,성남,288,9,1557,806,5111,1536,5424,2059,2363,896,1990,842,1763,969,1476,1108,1330,1388,1211,1347,1935,1761,1989,2141,2640,3317,1952,4505,1125,2487,1006,1913,960,1575,669,1144,266,600,14,111
202503,경강선,세종대왕릉,221,6,604,120,963,634,923,698,944,568,772,486,712,617,645,662,621,415,689,692,697,623,801,936,814,768,714,960,258,708,173,527,104,424,45,469,16,236,3,83
202503,경강선,신둔도예촌,884,28,2928,478,6272,2660,5208,3861,3782,1735,3002,1317,2419,1630,2636,1473,2519,1417,2219,1666,3100,2099,3259,2826,3967,3917,3418,4809,1326,5003,992,3182,636,2530,286,2456,121,1295,1,346
202503,경강선,여주,2367,6,5310,624,9786,3183,8327,5129,7110,7908,6482,3638,5760,5258,5418,4656,6271,3876,6563,5180,6851,5389,7557,6185,7344,8120,6034,9519,3252,8629,2466,6852,1723,3741,918,6263,280,3179,2,1204
202503,경강선,이매,570,36,1682,1001,3908,2279,2929,3169,1688,1421,1494,1182,1374,1006,1560,1131,1346,1410,1341,1291,1709,1588,2012,1528,2181,2435,2154,2828,1260,1675,1262,1245,1343,958,1165,758,357,414,10,60
202503,경강선,이천,908,66,3590,1808,8830,6251,7385,8838,6580,4015,5889,4190,5488,4189,5192,4821,5190,4616,4967,4654,5551,5143,7265,6697,7474,7320,7329,9471,3925,8302,3044,6866,2507,4596,1235,3520,613,2216,13,1032
202503,경강선,초월,1952,107,8158,1597,18710,4365,20070,5444,9017,2030,6770,2232,6109,2169,5300,2768,4429,3206,3947,4053,3740,4994,5156,7106,6315,9028,4780,15176,2307,11733,1805,8545,1290,7551,693,6712,294,4183,21,41
202503,경강선,판교,731,10,2489,8298,4682,21442,5993,36421,2544,20108,2861,12660,3453,8487,7517,8298,5207,5249,6937,5590,9761,5145,15394,6626,21447,7588,25494,6713,18197,3779,16128,2365,14165,2501,6526,1204,1994,730,3,262
202503,경부선,가산디지털단지,6332,2408,7888,12433,16719,59673,18386,155645,12938,76544,12235,25497,13976,18282,16325,18478,17624,19060,18645,18996,21921,18660,32931,21637,82911,27319,111546,29923,46164,22900,28783,14802,23171,14365,15492,12835,6297,7417,230,1431
202503,경부선,관악,7559,1703,13447,4042,32447,6772,28368,11572,16416,11307,12073,10239,10867,7873,12564,7441,11655,7901,11065,8432,11093,10227,12168,13343,12493,18111,11045,29257,6454,21296,4966,13577,4047,12562,2396,10162,1133,7336,61,723
202503,경부선,광명,21,1806,3463,3180,11241,6676,10472,8216,7124,6458,4644,4248,8450,2833,5996,8086,5662,309,3754,8932,6894,4217,8293,5339,9772,7616,10449,12362,8227,6926,2759,4615,7686,3097,2626,4527,1040,36,0,0
202503,경부선,구로,20064,4216,18183,14036,37544,30689,37003,66807,27805,38571,22495,29992,23422,28877,25172,26472,26645,27070,27716,26085,31870,29281,36569,32499,54467,40246,54650,42152,25662,29341,21392,20958,17332,19881,10729,16689,4259,12647,49,12008
202503,경부선,군포,5360,2712,8323,11400,18381,32727,17038,39079,10038,8262,8331,4767,8119,4760,8316,5355,7218,5964,6996,6143,7975,7617,11547,8251,24957,10980,32229,14536,11161,11813,8339,7489,4613,6895,2472,5767,1104,3550,57,600
