사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202504,2호선,왕십리(성동구청),682,1,6271,1011,10386,9803,28709,15672,48714,30459,30346,21181,21194,16893,20358,17531,23618,19399,24095,20509,23583,21198,26716,22896,33892,27846,36948,38887,37637,59951,25756,37013,23850,24810,26379,22106,26111,21245,15638,13798,3319,5926,2,25,0,0,0,0,20250503
202504,2호선,용답,4,0,2348,385,3818,1424,9188,2133,14949,4468,8034,5806,5751,3698,4961,3352,5649,3799,5644,4395,4962,4144,5222,5184,6879,6494,6565,7782,4762,12649,2953,7902,2080,5688,1725,6606,1257,6572,643,3553,155,1217,0,1,0,0,0,0,20250503
202504,2호선,용두(동대문구청),53,0,1116,96,2036,1018,6054,2749,9817,5892,5723,3533,4495,4387,4342,3750,4684,3643,4759,4644,5024,4510,5878,4879,5133,5120,5179,5937,5762,9315,2748,6463,1798,3832,1656,3603,861,2766,393,1653,67,620,0,1,0,0,0,0,20250503
202504,2호선,을지로3가,34,1,1131,2258,2969,22956,7825,80491,15675,181721,21755,74311,26002,36001,27932,30879,28728,28209,32044,32204,36406,28587,40972,29139,52877,34308,100394,40556,146663,48812,59835,31845,46613,20265,50636,17221,41921,15473,23292,9343,4318,2523,1,84,0,0,0,0,20250503
202504,2호선,을지로4가,14,1,1260,1198,2566,15543,6545,38260,13087,81882,15785,40426,19415,26644,22436,25980,22398,23735,24246,23485,26443,22168,30396,20877,38285,20988,65007,21808,72236,23621,31657,16385,20387,12239,17566,12090,12446,11494,6035,6928,1169,1980,1,32,0,0,0,0,20250503
202504,2호선,을지로입구,110,1,2500,3023,4556,34426,11820,140698,19200,361588,30690,178225,38320,94459,46487,77647,52104,67709,63235,70428,72897,62847,87286,63341,105263,66573,184738,77097,290325,79431,139505,53346,132612,37294,94080,29873,74104,22604,31416,11935,4205,4274,7,1020,0,1,0,0,20250503
202504,2호선,이대,13,0,3792,889,10466,7466,30621,17878,41714,52799,26307,59895,22216,47743,23926,31967,31292,35939,32530,39323,30744,29100,40875,30393,44557,31552,55398,39075,51908,52056,30934,36078,27371,25509,28993,25468,21713,24751,8422,16546,1315,5346,0,73,0,0,0,0,20250503
202504,2호선,잠실(송파구청),100,3,13964,5173,55244,38638,133131,89794,183093,187127,131692,167613,92799,141472,91958,142971,105727,141089,121083,146567,133085,147812,159585,158082,188486,175229,231391,221257,265553,277237,193171,181573,184739,114811,169626,104786,119837,90026,39513,45771,6693,11489,0,176,0,0,0,0,20250503
202504,2호선,잠실나루,6,0,3866,3276,14506,20422,43729,25144,52229,41550,34149,25092,26884,19758,25626,17590,23852,21343,22210,22786,23362,21540,26206,22598,35707,24291,41346,31747,32874,45260,16388,32181,11909,20085,8931,19107,6477,17626,2972,9370,442,3113,0,26,0,0,0,0,20250503
202504,2호선,잠실새내,43,0,6161,1185,21159,9139,70335,19411,94096,30543,59265,31702,39288,25998,35170,29471,36605,35009,35873,38681,32049,39755,35421,46863,39370,57163,43375,74377,47016,96160,35747,64783,31029,39765,30717,36794,30814,32761,17599,16825,3387,5667,0,57,0,0,0,0,20250503
202504,2호선,종합운동장,13,0,1746,1408,6671,15590,19889,20406,25531,31215,17459,15443,13155,15438,13575,17366,14659,42086,15248,66128,14858,23543,21055,22879,36057,38630,68622,105871,41012,114108,16058,30623,26425,13115,145778,14630,35746,11040,3422,5548,399,1765,1,91,0,0,0,0,20250503
202504,2호선,충정로(경기대입구),21,2,3655,1014,7116,7018,17822,27868,25064,67599,16381,28971,12886,13156,12946,11765,13764,11826,14151,14695,14019,13029,15462,13039,19017,14854,35693,18645,50765,23987,16520,16189,11714,11890,10624,11759,6923,10459,3016,6565,744,2196,1,63,0,0,0,0,20250503
202504,2호선,한양대,3,0,1220,687,2772,10318,6210,16399,9548,78820,7289,64099,9700,62991,16187,22025,20859,44318,22912,30174,29251,23703,38318,16897,51290,14241,59693,18499,47735,23221,25596,11413,21520,7604,24860,7123,16319,6812,9396,4590,2192,1600,0,8,0,0,0,0,20250503
202504,2호선,합정,133,14,10288,3166,17871,13833,42716,34105,55264,101964,37664,91643,30136,55193,32521,49707,37459,53581,41916,60908,44093,55092,48767,57764,59069,67747,81203,87011,120503,121300,79963,82021,67090,46813,72270,38272,69045,33787,36065,22775,7347,8759,3,85,0,0,0,0,20250503
202504,2호선,홍대입구,980,28,23560,3554,30602,18358,64889,46022,86349,122730,69601,158969,65483,119983,70903,132277,82483,145954,95644,162784,104183,150731,126239,154972,155582,167078,183089,196973,207420,243302,174150,179510,170458,115118,195121,94459,186490,75180,93582,51001,13203,19671,6,2118,0,0,0,0,20250503
202504,3호선,가락시장,57,17,3132,781,8327,6091,24345,12331,25400,29179,18557,14867,15498,10636,14226,11127,14593,12406,14770,12886,14222,14022,15512,15719,16605,17583,21287,21672,28571,27315,12825,20118,9973,13112,9098,11299,5927,10452,2417,5400,449,2035,0,44,0,0,0,0,20250503
202504,3호선,경복궁(정부서울청사),26,12,2786,2013,7370,18230,15631,49926,23825,153911,23082,114035,23409,82107,32491,74879,42168,64242,52219,63691,64635,51533,79328,44153,93418,40850,112078,39132,133428,41700,56579,26415,47413,14895,45011,12737,27643,11162,9936,6198,1311,1936,1,50,0,0,0,0,20250503
202504,3호선,경찰병원,6,2,3063,280,8999,3392,26113,10521,28861,28356,17505,15485,12633,9038,10993,7128,10349,8999,10635,10102,10767,9471,10762,10094,10946,10937,16525,16805,19483,23817,8008,18965,5991,11505,5270,9977,3496,8911,986,5147,152,1602,0,0,0,0,0,0,20250503
202504,3호선,고속터미널,134,2,5499,3954,8655,35802,28902,51213,50323,78596,55143,98192,58489,99219,70366,103867,83092,97299,91798,96344,104737,101296,120639,107884,129377,106185,143803,113216,140906,119537,120287,75137,132410,47801,81530,36860,51041,25059,17548,12447,1974,2892,0,1,0,0,0,0,20250503
202504,3호선,교대(법원.검찰청),90,3,1959,802,5307,8219,12298,21483,17410,53151,15043,38663,16174,19234,20121,13184,22860,12935,27900,13883,32002,12408,34228,11822,36691,12359,57906,17393,76813,21492,36716,11594,33419,6759,30373,5467,21879,5105,8581,2978,1365,1040,0,2,0,0,0,0,20250503
202504,3호선,구파발,218,1,13219,1834,37550,11964,92501,24564,87871,32398,49614,26659,34870,27616,32863,25973,33346,27083,31569,29393,31461,31321,36469,33124,41138,40109,40666,50726,31208,80034,20413,64190,16388,37771,14215,34030,11321,31020,3034,20103,652,8853,0,250,0,0,0,0,20250503
